美股代码;美股公司名称;主营细分赛道;赛道判断依据;映射类型;A股对应赛道;A股Top1代码;A股Top1名称;Top1总市值估算(亿元);Top1业务说明;A股Top2代码;A股Top2名称;Top2总市值估算(亿元);Top2业务说明;A股Top3代码;A股Top3名称;Top3总市值估算(亿元);Top3业务说明;市值口径/数据状态;备注
AAPL;Apple;消费电子终端/生态链;iPhone、Mac、可穿戴和服务生态;直接/较接近映射;消费电子终端/生态链;002475.SZ;立讯精密;3000;苹果产业链与消费电子制造龙头;000725.SZ;京东方A;1700;显示面板与消费电子显示;601138.SH;工业富联;4200;电子制造与AI服务器制造;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AMAT;Applied Materials;半导体设备;晶圆制造设备、材料工程设备;直接/较接近映射;半导体设备;002371.SZ;北方华创;2400;刻蚀/薄膜沉积/清洗等半导体设备;688012.SH;中微公司;1100;刻蚀与MOCVD设备;688072.SH;拓荆科技;550;薄膜沉积设备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
APP;AppLovin;移动应用广告/应用变现平台;移动广告投放、应用变现与AI广告平台;直接/较接近映射;移动应用广告/应用变现平台;002555.SZ;三七互娱;350;游戏发行与买量投放，近似映射;300058.SZ;蓝色光标;300;数字营销与广告服务;300418.SZ;昆仑万维;500;海外互联网平台与AI应用;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ARM;Arm Holdings;芯片IP/架构授权;CPU架构IP授权与生态;直接/较接近映射;芯片IP/架构授权;688521.SH;芯原股份;260;半导体IP授权与芯片定制服务;688099.SH;晶晨股份;650;SoC芯片设计;688110.SH;东芯股份;120;存储芯片设计，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ASML;ASML Holding;半导体设备;光刻机，A股无直接同构标的;近似映射;半导体设备;002371.SZ;北方华创;2400;刻蚀/薄膜沉积/清洗等半导体设备;688012.SH;中微公司;1100;刻蚀与MOCVD设备;688072.SH;拓荆科技;550;薄膜沉积设备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ADSK;Autodesk;创意设计软件/数字媒体工具;CAD、BIM、工程设计软件;直接/较接近映射;创意设计软件/数字媒体工具;688111.SH;金山办公;1300;办公软件、文档协作、AI办公，A股软件龙头;688083.SH;中望软件;120;CAD/CAE工业设计软件，国产设计软件代表;002410.SZ;广联达;180;工程造价/建筑信息化软件，BIM相关;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ADP;Automatic Data Processing;企业服务/人力资源薪酬;薪酬、人力资源和企业外包服务;直接/较接近映射;企业服务/人力资源薪酬;600588.SH;用友网络;450;企业管理软件/ERP;300662.SZ;科锐国际;90;人力资源服务;603039.SH;泛微网络;110;协同办公/OA;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AXON;Axon Enterprise;执法安全设备/视频安防;执法记录仪、证据云、公共安全设备;直接/较接近映射;执法安全设备/视频安防;002415.SZ;海康威视;2900;视频安防与AIoT龙头;002236.SZ;大华股份;650;视频监控与智能物联;002414.SZ;高德红外;300;红外热成像与安防装备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
BKR;Baker Hughes;油服/能源设备;油田服务、能源设备与工业技术;直接/较接近映射;油服/能源设备;601808.SH;中海油服;900;海上油服;600871.SH;石化油服;350;油气工程与油田服务;600583.SH;海油工程;600;海洋油气工程;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
BKNG;Booking Holdings;在线预订/旅游平台;在线酒店、机票与旅行预订平台;直接/较接近映射;在线预订/旅游平台;601888.SH;中国中免;1400;旅游零售/免税龙头;600754.SH;锦江酒店;300;酒店运营与预订场景;300144.SZ;宋城演艺;240;旅游演艺与景区消费;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AVGO;Broadcom;网络通信/交换路由设备;网络芯片、宽带芯片、企业软件;直接/较接近映射;网络通信/交换路由设备;000938.SZ;紫光股份;900;企业网络设备/新华三;000063.SZ;中兴通讯;1600;通信设备与网络基础设施;300308.SZ;中际旭创;1800;光模块，AI网络基础设施;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CDNS;Cadence Design Systems;EDA/电子设计自动化;EDA软件、仿真验证和IP;直接/较接近映射;EDA/电子设计自动化;301269.SZ;华大九天;550;国产EDA工具龙头;688206.SH;概伦电子;130;EDA与器件建模;301095.SZ;广立微;120;EDA与晶圆级电性测试;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CHTR;Charter Communications;有线电视/宽带运营;有线电视、宽带与通信服务;近似映射;有线电视/宽带运营;600050.SH;中国联通;1500;通信运营商;600941.SH;中国移动;22000;通信运营商;601728.SH;中国电信;6500;通信运营商;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CTAS;Cintas;制服/企业服务;企业制服、清洁和安全服务;直接/较接近映射;制服/企业服务;600177.SH;雅戈尔;350;服装与纺织，近似映射;600398.SH;海澜之家;400;男装与服装零售;002154.SZ;报喜鸟;90;职业装/男装，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CSCO;Cisco Systems;网络通信/交换路由设备;企业网络、交换路由和安全设备;直接/较接近映射;网络通信/交换路由设备;000938.SZ;紫光股份;900;企业网络设备/新华三;000063.SZ;中兴通讯;1600;通信设备与网络基础设施;300308.SZ;中际旭创;1800;光模块，AI网络基础设施;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CCEP;Coca-Cola Europacific Partners;软饮料/瓶装饮料;可口可乐装瓶与饮料分销;直接/较接近映射;软饮料/瓶装饮料;605499.SH;东鹏饮料;1600;功能饮料龙头;600887.SH;伊利股份;1700;乳制品与饮料消费龙头;000848.SZ;承德露露;90;植物蛋白饮料;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CTSH;Cognizant;IT服务/外包;IT服务、咨询和外包;直接/较接近映射;IT服务/外包;600570.SH;恒生电子;750;金融IT服务;002230.SZ;科大讯飞;1100;AI软件与解决方案;600845.SH;宝信软件;1100;工业软件与IT服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CMCSA;Comcast;有线电视/宽带运营;宽带、有线电视和媒体内容;近似映射;有线电视/宽带运营;600050.SH;中国联通;1500;通信运营商;600941.SH;中国移动;22000;通信运营商;601728.SH;中国电信;6500;通信运营商;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CEG;Constellation Energy;清洁能源/核电;核电和清洁能源发电;直接/较接近映射;清洁能源/核电;601985.SH;中国核电;1900;核电运营;003816.SZ;中国广核;1700;核电运营;600900.SH;长江电力;7200;水电运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CPRT;Copart;事故车拍卖/二手车流通;事故车在线拍卖，A股无直接同构;近似映射;事故车拍卖/二手车流通;600297.SH;广汇汽车;120;汽车经销与二手车流通，近似映射;600335.SH;国机汽车;110;汽车贸易与服务;600704.SH;物产中大;240;大宗供应链/汽车流通相关;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
COST;Costco Wholesale;会员制零售/仓储零售;会员制仓储零售;近似映射;会员制零售/仓储零售;601933.SH;永辉超市;500;商超零售，近似映射;600415.SH;小商品城;700;商品交易市场与零售生态;600827.SH;百联股份;180;综合零售;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CRWD;CrowdStrike;网络安全;云原生终端安全、威胁检测;直接/较接近映射;网络安全;688561.SH;奇安信-U;300;网络安全平台型公司;300454.SZ;深信服;250;安全与云计算基础设施;002439.SZ;启明星辰;200;网络安全产品与服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CSX;CSX;铁路/货运物流;铁路货运;直接/较接近映射;铁路/货运物流;601006.SH;大秦铁路;1100;铁路货运;601816.SH;京沪高铁;2600;高铁资产运营，近似交通基础设施;002352.SZ;顺丰控股;1900;快递物流龙头;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
DDOG;Datadog;可观测性/云运维软件;云监控、日志、APM、可观测性;直接/较接近映射;可观测性/云运维软件;688111.SH;金山办公;1300;SaaS软件龙头，近似映射;600845.SH;宝信软件;1100;工业软件与云运维;300454.SZ;深信服;250;云计算与安全平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
DXCM;DexCom;医疗器械/糖尿病监测;连续血糖监测CGM;直接/较接近映射;医疗器械/糖尿病监测;300760.SZ;迈瑞医疗;3200;医疗器械龙头;688271.SH;联影医疗;1100;影像设备;002223.SZ;鱼跃医疗;350;家用医疗器械/血糖血氧等;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
FANG;Diamondback Energy;页岩油气/上游能源;页岩油气勘探开发;直接/较接近映射;页岩油气/上游能源;601857.SH;中国石油;17000;油气勘探开发与炼化;600938.SH;中国海油;10000;海上油气勘探开发;600028.SH;中国石化;7500;炼化与成品油销售;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
DASH;DoorDash;本地生活/外卖平台;外卖、本地配送平台，A股无直接同构;近似映射;本地生活/外卖平台;603777.SH;来伊份;80;线下零售/即时消费，近似映射;002251.SZ;步步高;60;区域零售，近似映射;603613.SH;国联股份;250;B2B平台，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
EA;Electronic Arts;游戏软件;游戏研发与发行;直接/较接近映射;游戏软件;002555.SZ;三七互娱;350;游戏研发发行;002602.SZ;世纪华通;800;游戏与数字娱乐;002558.SZ;巨人网络;250;游戏研发运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
EXC;Exelon;公用事业/电力运营;电力和燃气公用事业;直接/较接近映射;公用事业/电力运营;600900.SH;长江电力;7200;水电运营，A股公用事业市值龙头;601985.SH;中国核电;1900;核电运营;600025.SH;华能水电;1800;水电运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
FAST;Fastenal;紧固件/工业分销;工业品分销与紧固件;直接/较接近映射;紧固件/工业分销;600153.SH;建发股份;300;供应链运营，近似映射;600704.SH;物产中大;240;供应链集成服务;002027.SZ;分众传媒;1000;非同构，临时占位需复核;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
FER;Ferrovial;基础设施/交通工程;交通基础设施投资与运营;直接/较接近映射;基础设施/交通工程;601186.SH;中国铁建;1200;交通基础设施建设;601668.SH;中国建筑;2200;基建房建龙头;601390.SH;中国中铁;1500;基建工程;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
FTNT;Fortinet;网络安全;网络安全设备、防火墙、SASE;直接/较接近映射;网络安全;688561.SH;奇安信-U;300;网络安全平台型公司;300454.SZ;深信服;250;安全与云计算基础设施;002439.SZ;启明星辰;200;网络安全产品与服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
GEHC;GE HealthCare;医学影像/医疗设备;医学影像、超声与医疗设备;直接/较接近映射;医学影像/医疗设备;300760.SZ;迈瑞医疗;3200;医疗器械龙头;688271.SH;联影医疗;1100;医学影像设备;600587.SH;新华医疗;120;医疗器械与医院设备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
GILD;Gilead Sciences;大药企/生物制药;抗病毒、肿瘤和创新药;直接/较接近映射;大药企/生物制药;600276.SH;恒瑞医药;3100;创新药龙头;600436.SH;片仔癀;1500;中成药与品牌药;600196.SH;复星医药;700;综合医药与创新药;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
HON;Honeywell International;工业自动化/综合制造;工业自动化、航空航天和楼宇科技;直接/较接近映射;工业自动化/综合制造;300124.SZ;汇川技术;1800;工业自动化与电驱;000333.SZ;美的集团;5200;综合制造与机器人自动化;002747.SZ;埃斯顿;150;工业机器人与自动化;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
IDXX;IDEXX Laboratories;动物诊断/宠物医疗;宠物诊断、动物医疗检测;直接/较接近映射;动物诊断/宠物医疗;600201.SH;生物股份;160;动物疫苗;600195.SH;中牧股份;100;动物保健/兽药;603566.SH;普莱柯;90;兽用生物制品;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
INSM;Insmed;罕见病/创新药;罕见病和肺部疾病创新药;直接/较接近映射;罕见病/创新药;688235.SH;百济神州-U;1700;创新药;600276.SH;恒瑞医药;3100;创新药;688331.SH;荣昌生物;350;生物创新药;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
INTC;Intel;CPU/GPU/AI加速芯片;CPU、数据中心芯片、晶圆制造;直接/较接近映射;CPU/GPU/AI加速芯片;688256.SH;寒武纪-U;2800;AI训练/推理芯片与智能计算加速卡;688041.SH;海光信息;3600;国产服务器CPU/DCU加速芯片;300474.SZ;景嘉微;450;图形处理芯片与军工GPU;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
INTU;Intuit;财税/中小企业软件;TurboTax、QuickBooks财税软件;直接/较接近映射;财税/中小企业软件;600588.SH;用友网络;450;企业管理软件;002063.SZ;远光软件;180;财税与能源信息化;603039.SH;泛微网络;110;协同办公;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ISRG;Intuitive Surgical;机器人手术/高端医疗设备;达芬奇手术机器人;直接/较接近映射;机器人手术/高端医疗设备;300760.SZ;迈瑞医疗;3200;医疗器械龙头;688271.SH;联影医疗;1100;高端医疗影像;688016.SH;心脉医疗;250;高端介入医疗器械，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
KDP;Keurig Dr Pepper;软饮料/瓶装饮料;咖啡机、软饮料和饮品品牌;直接/较接近映射;软饮料/瓶装饮料;605499.SH;东鹏饮料;1600;功能饮料龙头;600887.SH;伊利股份;1700;乳制品与饮料消费龙头;000848.SZ;承德露露;90;植物蛋白饮料;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
KLAC;KLA;半导体测试设备;半导体过程控制与检测设备;直接/较接近映射;半导体测试设备;688072.SH;拓荆科技;550;半导体设备;688012.SH;中微公司;1100;半导体设备;300604.SZ;长川科技;350;半导体测试设备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
KHC;Kraft Heinz;零食/食品饮料;包装食品和调味品;直接/较接近映射;零食/食品饮料;603288.SH;海天味业;2300;调味品龙头;600887.SH;伊利股份;1700;乳制品龙头;000895.SZ;双汇发展;900;肉制品龙头;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
LRCX;Lam Research;半导体设备;刻蚀、沉积等晶圆制造设备;直接/较接近映射;半导体设备;002371.SZ;北方华创;2400;刻蚀/薄膜沉积/清洗等半导体设备;688012.SH;中微公司;1100;刻蚀与MOCVD设备;688072.SH;拓荆科技;550;薄膜沉积设备;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
LIN;Linde;工业气体/特种气体;工业气体和特种气体;直接/较接近映射;工业气体/特种气体;002430.SZ;杭氧股份;350;工业气体设备与运营;688106.SH;金宏气体;120;电子大宗气体与特气;688268.SH;华特气体;80;电子特种气体;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
LITE;Lumentum;光通信/光模块;光通信器件、激光器;直接/较接近映射;光通信/光模块;300308.SZ;中际旭创;1800;高速光模块;300502.SZ;新易盛;1600;高速光模块;300394.SZ;天孚通信;1000;光器件;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MAR;Marriott International;酒店管理/住宿;酒店管理和特许经营;直接/较接近映射;酒店管理/住宿;600754.SH;锦江酒店;300;酒店管理;600258.SH;首旅酒店;180;酒店管理;000428.SZ;华天酒店;50;酒店运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MRVL;Marvell Technology;网络通信/交换路由设备;数据中心、网络和存储芯片;直接/较接近映射;网络通信/交换路由设备;000938.SZ;紫光股份;900;企业网络设备/新华三;000063.SZ;中兴通讯;1600;通信设备与网络基础设施;300308.SZ;中际旭创;1800;光模块，AI网络基础设施;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MELI;MercadoLibre;综合电商/云计算平台;拉美电商和金融科技平台;直接/较接近映射;综合电商/云计算平台;002230.SZ;科大讯飞;1100;AI平台与云化软件，近似映射云业务;000977.SZ;浪潮信息;1300;AI服务器与云基础设施;603613.SH;国联股份;250;B2B电商平台，近似映射电商平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
META;Meta Platforms;社交媒体/广告/元宇宙;社交网络、广告、AI和VR生态;直接/较接近映射;社交媒体/广告/元宇宙;002555.SZ;三七互娱;350;游戏发行与买量投放，近似映射;300058.SZ;蓝色光标;300;数字营销与广告服务;300418.SZ;昆仑万维;500;海外互联网平台与AI应用;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MCHP;Microchip Technology;模拟芯片/混合信号芯片;MCU、模拟与连接芯片;直接/较接近映射;模拟芯片/混合信号芯片;300661.SZ;圣邦股份;350;模拟芯片设计;688536.SH;思瑞浦;250;高性能模拟芯片;688052.SH;纳芯微;230;传感器/信号链/汽车模拟芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MU;Micron Technology;存储芯片/存储设备;DRAM、NAND存储芯片;直接/较接近映射;存储芯片/存储设备;603986.SH;兆易创新;800;NOR Flash/MCU;301308.SZ;江波龙;450;存储模组;300223.SZ;北京君正;350;存储芯片与处理器;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MSFT;Microsoft;企业软件/云办公;Office、Windows、Azure、AI软件;直接/较接近映射;企业软件/云办公;688111.SH;金山办公;1300;办公软件SaaS;600588.SH;用友网络;450;ERP/企业云;600845.SH;宝信软件;1100;工业软件/云服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MSTR;MicroStrategy;比特币金库/数字资产;企业软件+比特币资产负债表策略;近似映射;比特币金库/数字资产;300033.SZ;同花顺;1200;金融信息服务，近似数字金融;300059.SZ;东方财富;2600;互联网券商/财富管理，近似数字金融;002152.SZ;广电运通;300;金融机具与数字货币场景，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
